signer,total_trades,trades_per_hour,aggregator_likelihood,late_slot_ratio,oracle_backrun_ratio,high_bytes_ratio,cluster_ratio,mev_score,wash_trading_score,classification,binary_label,validators,total_validators,pools,total_pools
DVmNdcM23insP7Zyu99FWMfGbzSH78ekfPrHcLCMRfZi,2,20.0,0.0,1.0,1.0,0.5,1.0,0.8999999999999999,20.000000000000004,LIKELY MEV BOT,1,8Nvaxzif1NrdvxNkRetjT8xJvd33EHkKVrfL8EDkgaNy,1,"ZeroFi,HumidiFi",2
CyUaByzQjWBc2xQDiLZP6nx818WEVpyqs2XcEC1Gm6kL,2,20.0,0.0,1.0,1.0,0.5,1.0,0.8999999999999999,20.000000000000004,LIKELY MEV BOT,1,JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,1,"HumidiFi,ZeroFi",2
Bno15y4FkpvwSeioT8G5f4qtjwAV9dA4hDuJRYPYkgzF,2,20.0,0.0,1.0,1.0,0.5,1.0,0.8999999999999999,20.000000000000004,LIKELY MEV BOT,1,22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU,1,"HumidiFi,ZeroFi",2
4qZoQ81ADzjD4seg9s7DqEACFvFHbhSvy5EzB4wbosDy,2,20.0,0.0,1.0,1.0,0.0,1.0,0.8,22.22222222222222,LIKELY MEV BOT,1,Ed9WjPnZfAXsPttcqxMwj94qsuXVRyBsyXnDkxFva2Zv,1,"SolFiV2,HumidiFi",2
4DFLQHDdQ7k8JNT5Ev7v54DQK4kaEq3CZ9FMcaaVCWr1,2,20.0,0.0,1.0,1.0,0.0,1.0,0.8,22.22222222222222,LIKELY MEV BOT,1,DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,1,HumidiFi,1
89cVjCeVmV7eCXv8pQZZ4y2eoFAZdWzyZXfY8Qhh1X5,2,20.0,0.0,1.0,1.0,0.0,1.0,0.8,22.22222222222222,LIKELY MEV BOT,1,DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,1,HumidiFi,1
BTkot8TvLnSZ1ZkSMXuNWtfgpRBd9RWfir6EBwEXhFFb,2,20.0,0.0,1.0,1.0,0.0,1.0,0.8,22.22222222222222,LIKELY MEV BOT,1,AMukCLCr52XxsEjXoDxKKxjNg4FpnsReXNaQx8aR6DJF,1,"HumidiFi,SolFiV2",2
diwQrJEVaDYtkPyFs14bVn1wD4JdpFdXRmcacowG3L4,2,20.0,0.0,1.0,1.0,0.0,1.0,0.8,22.22222222222222,LIKELY MEV BOT,1,shftkxnsXmqAkmLgz9Mn7bNB5Fr6mKgFc58kFHfVikj,1,"SolFiV2,HumidiFi",2
9ioes2fCxNC85jfv2s31h9kn6wxyyArMfjcfv8uCbbE1,2,20.0,0.0,1.0,1.0,0.0,1.0,0.8,22.22222222222222,LIKELY MEV BOT,1,BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,1,"SolFiV2,HumidiFi",2
7insQXCLUqbF2M8JjMWPiZFuaCsS9RtqDgQ8rjSBcxnH,2,20.0,0.0,1.0,1.0,0.0,1.0,0.8,22.22222222222222,LIKELY MEV BOT,1,DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,1,"SolFiV2,HumidiFi",2
48MTZkhu9pgSwFUUn8Xuvasd4BAzoc7C4FMW1DtxdiT5,2,20.0,0.0,1.0,1.0,0.0,1.0,0.8,22.22222222222222,LIKELY MEV BOT,1,2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,1,"GoonFi,HumidiFi",2
6mjcZ79PThwvoKMZMJ2duH1W115yv7mAqkzRnWUqUvK3,2,20.0,0.0,1.0,1.0,0.0,1.0,0.8,22.22222222222222,LIKELY MEV BOT,1,2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,1,"GoonFi,HumidiFi",2
CQpE7FxmWLTBUQ1x6pyYJG68foSbnQzksXxXYzyGQPLw,2,20.0,0.0,1.0,1.0,0.0,1.0,0.8,22.22222222222222,LIKELY MEV BOT,1,DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,1,"SolFiV2,HumidiFi",2
HRb8GUhRxKtLbk46XUm33baxryUACwMwQ9epAANQwXkG,2,20.0,0.0,1.0,1.0,0.0,1.0,0.8,22.22222222222222,LIKELY MEV BOT,1,aXiomFkk6VzXaBhPuhMqTLZZguCFzzbyP9LTtZ7ZHLQ,1,ZeroFi,1
4bEkAnJJSXue5REguwVF4TmdWxJ1aLqECMAZ3VPErPh7,2,20.0,0.0,1.0,1.0,0.0,1.0,0.8,22.22222222222222,LIKELY MEV BOT,1,aXiomFkk6VzXaBhPuhMqTLZZguCFzzbyP9LTtZ7ZHLQ,1,"SolFiV2,GoonFi",2
3Tu7P13rZEpZChfX9fFvEfJouxReUrMZtsdUDBesg1f6,2,20.0,0.0,1.0,1.0,0.0,1.0,0.8,22.22222222222222,LIKELY MEV BOT,1,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,1,"SolFiV2,GoonFi",2
6HjiEcr4NPzJXb6X8fcuwXFm9Gd9hT2NVX2NTzd3cnU4,2,20.0,0.0,1.0,1.0,0.0,1.0,0.8,22.22222222222222,LIKELY MEV BOT,1,nymsHergYedT9CJMgtGMvqXUTGcbs5o3MiWTJUbqTGY,1,"SolFiV2,HumidiFi",2
8PsroLC8fQUCY9Rd9X5UjNbjXthEd7vJmfifyiTKuWan,2,20.0,0.0,1.0,1.0,0.0,1.0,0.8,22.22222222222222,LIKELY MEV BOT,1,nymsHergYedT9CJMgtGMvqXUTGcbs5o3MiWTJUbqTGY,1,"HumidiFi,SolFiV2",2
APXXiEEP9kCNBE68J34NQM2yqYjYMCvyiVvmryGqEm22,2,20.0,0.0,1.0,1.0,0.0,1.0,0.8,22.22222222222222,LIKELY MEV BOT,1,AWcCdYG7Dy6GX45c6QMPbgGwgRZPKcBDT4bXGb3QrVRV,1,HumidiFi,1
H8NQJwsrWyZpkoiARj8pbsQYGJTkYrfcbD6m2a9hMqkE,2,20.0,0.0,1.0,1.0,0.0,1.0,0.8,22.22222222222222,LIKELY MEV BOT,1,BSVckjdW2f8kcXPGcrPPtV9kUDBZ8w8PjrrGVnxgEdwq,1,"SolFiV2,GoonFi",2
